month,역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구
1,방이역,하차,3741,13049,4113,46246,48253,61302,13351.0,28394.0,11012.0,0.0,2.0,4.0,229467.0
1,방화역,승차,2303,5179,1214,74486,43891,20438,21926.0,28926.0,4554.0,9.0,0.0,3.0,202929.0
1,방화역,하차,1053,3276,3753,22941,36235,72151,11875.0,30439.0,12091.0,0.0,4.0,16.0,193834.0
1,버티고개역,승차,441,795,428,17961,15799,12355,5455.0,6609.0,1509.0,0.0,18.0,14.0,61384.0
1,버티고개역,하차,349,969,832,10867,13578,20526,4006.0,7939.0,3348.0,0.0,10.0,8.0,62432.0
1,보라매역,승차,1046,2748,1307,66834,50220,41412,9916.0,18726.0,4700.0,5.0,7.0,0.0,196921.0
1,보라매역,하차,1167,2536,1829,41493,47789,73440,8331.0,20660.0,5367.0,1.0,17.0,9.0,202639.0
1,보문역,승차,1092,2364,784,82104,60852,43074,11927.0,15755.0,3563.0,9.0,40.0,11.0,221575.0
1,보문역,하차,795,1773,1535,40359,48220,83224,7845.0,15704.0,6167.0,6.0,18.0,29.0,205675.0
1,복정역,승차,2082,4398,1066,99600,65298,51170,13623.0,20053.0,5439.0,4.0,11.0,1.0,262745.0
1,복정역,하차,761,2972,3247,41247,53899,83623,11809.0,15773.0,7687.0,0.0,12.0,2.0,221032.0
1,봉천역,승차,2831,5863,2499,310187,146296,81087,55421.0,78238.0,16864.0,3.0,38.0,19.0,699346.0
1,봉천역,하차,1077,5092,5081,56529,145078,297902,29004.0,91365.0,29578.0,4.0,30.0,24.0,660764.0
1,봉화산역,승차,1785,3545,1107,121623,52218,24833,20705.0,26083.0,4112.0,1.0,2.0,0.0,256014.0
1,봉화산역,하차,502,3128,2953,27505,50615,106970,9521.0,28531.0,11854.0,0.0,1.0,4.0,241584.0
1,불광역,승차,2278,7116,2461,202181,130826,81998,49257.0,109464.0,22498.0,4.0,36.0,12.0,608131.0
1,불광역,하차,1316,5931,4701,78375,135995,220373,35453.0,120911.0,30857.0,8.0,34.0,6.0,633960.0
1,사가정역,승차,2785,5868,1968,187863,102285,62883,38787.0,51054.0,12492.0,0.0,14.0,10.0,466009.0
