month,역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구,평균면적당 임대료_공유오피스,평균면적당 임대료_기타,평균면적당 임대료_무인프린트,평균면적당 임대료_밀키트,평균면적당 임대료_사무실,평균면적당 임대료_식음료,평균면적당 임대료_의약업,평균면적당 임대료_패션잡화,평균면적당 임대료_편의점,평균면적당 임대료_플라워,평균면적당 임대료_화상면접,평균면적당 임대료_화장품,공실수,점포수_공유오피스,점포수_기타,점포수_무인프린트,점포수_밀키트,점포수_사무실,점포수_식음료,점포수_의약업,점포수_패션잡화,점포수_편의점,점포수_플라워,점포수_화상면접,점포수_화장품
1,마들역,하차,845,4811,3632,23016,67734,156920,16721.0,51769.0,20954.0,0.0,1.0,3.0,346406.0,9190.216731686172,7106.628242074928,15303.030303030304,0.0,0.0,37777.77777777778,0.0,42264.15094339623,185368.7707641196,14139.39393939394,0.0,0.0,2,1.0,10.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0
1,마포구청역,승차,2229,5079,2170,138798,102040,81273,30952.0,40144.0,8719.0,8.0,55.0,37.0,411504.0,0.0,0.0,0.0,0.0,6961.643835616438,0.0,0.0,34582.5,166352.84615384616,0.0,0.0,35157.03921568627,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1,마포구청역,하차,1111,4711,3257,72862,84507,134570,17650.0,40462.0,15148.0,6.0,57.0,17.0,374358.0,0.0,0.0,0.0,0.0,6961.643835616438,0.0,0.0,34582.5,166352.84615384616,0.0,0.0,35157.03921568627,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1,면목역,승차,2671,4819,1321,189469,87073,45669,37075.0,48644.0,11499.0,9.0,22.0,3.0,428274.0,0.0,0.0,0.0,70317.1875,0.0,140625.0,43883.018867924526,57577.10809910011,292935.97560975613,0.0,0.0,0.0,3,0.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0
1,면목역,하차,506,3786,3979,39493,90924,177318,22047.0,58089.0,20366.0,0.0,6.0,14.0,416528.0,0.0,0.0,0.0,70317.1875,0.0,140625.0,43883.018867924526,57577.10809910011,292935.97560975613,0.0,0.0,0.0,3,0.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0
1,미아사거리역,승차,6983,17583,5369,266615,177698,113871,64174.0,101709.0,21395.0,11.0,25.0,11.0,775444.0,0.0,82841.40102321921,0.0,0.0,0.0,333033.8363636364,53054.66237942122,169740.2352410657,0.0,0.0,0.0,0.0,2,0.0,2.0,0.0,0.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0
1,미아사거리역,하차,3204,12910,11913,81754,179094,291356,32607.0,116180.0,38334.0,14.0,36.0,18.0,767420.0,0.0,82841.40102321921,0.0,0.0,0.0,333033.8363636364,53054.66237942122,169740.2352410657,0.0,0.0,0.0,0.0,2,0.0,2.0,0.0,0.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0
1,미아역,승차,2957,8926,3488,140427,99478,59422,41606.0,63627.0,13206.0,11.0,17.0,4.0,433169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78502.37341772151,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,미아역,하차,3846,5295,4534,61015,85639,139758,25947.0,71194.0,23476.0,3.0,14.0,18.0,420739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78502.37341772151,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,불광역,승차,2278,7116,2461,202181,130826,81998,49257.0,109464.0,22498.0,4.0,36.0,12.0,608131.0,0.0,20399.756246191348,38491.14703618168,0.0,0.0,56632.608695652176,0.0,44463.53139960575,29943.5,0.0,0.0,60390.53694843169,2,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0
1,불광역,하차,1316,5931,4701,78375,135995,220373,35453.0,120911.0,30857.0,8.0,34.0,6.0,633960.0,0.0,20399.756246191348,38491.14703618168,0.0,0.0,56632.608695652176,0.0,44463.53139960575,29943.5,0.0,0.0,60390.53694843169,2,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0
1,사가정역,승차,2785,5868,1968,187863,102285,62883,38787.0,51054.0,12492.0,0.0,14.0,10.0,466009.0,0.0,48386.477141759504,0.0,0.0,10662.100456621003,97742.18279569891,0.0,44088.50574712643,347843.83731760323,48377.455166524334,0.0,0.0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0
1,사가정역,하차,887,4763,4550,50350,108251,194164,20610.0,61637.0,21613.0,0.0,10.0,8.0,466843.0,0.0,48386.477141759504,0.0,0.0,10662.100456621003,97742.18279569891,0.0,44088.50574712643,347843.83731760323,48377.455166524334,0.0,0.0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0
1,사당역,승차,9355,20981,10788,553660,493560,558155,71736.0,177255.0,59266.0,33.0,234.0,119.0,1955142.0,0.0,76753.59062042013,0.0,0.0,0.0,250579.4565551121,166449.51140065148,131933.65678181063,0.0,169032.25806451612,0.0,450935.0485100485,8,0.0,4.0,0.0,0.0,0.0,8.0,1.0,15.0,0.0,1.0,0.0,1.0
1,사당역,하차,3756,19529,19199,299339,556644,771445,68238.0,189737.0,44366.0,22.0,213.0,129.0,1972617.0,0.0,76753.59062042013,0.0,0.0,0.0,250579.4565551121,166449.51140065148,131933.65678181063,0.0,169032.25806451612,0.0,450935.0485100485,8,0.0,4.0,0.0,0.0,0.0,8.0,1.0,15.0,0.0,1.0,0.0,1.0
1,상계역,승차,4406,15009,7726,235061,114240,57034,49618.0,61561.0,12017.0,0.0,5.0,5.0,556682.0,0.0,73926.1975308642,0.0,0.0,0.0,117494.60043196545,0.0,57690.60839839239,0.0,0.0,0.0,0.0,1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0
1,상계역,하차,5821,12037,8066,42823,107195,219054,22431.0,66860.0,29926.0,0.0,4.0,5.0,514222.0,0.0,73926.1975308642,0.0,0.0,0.0,117494.60043196545,0.0,57690.60839839239,0.0,0.0,0.0,0.0,1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0
1,상봉역,승차,2150,6116,2783,199210,123553,92768,22315.0,40304.0,14271.0,5.0,46.0,11.0,503532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58007.39570571926,303167.5461741425,41290.55405405405,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0
