month,역명,영업업종,월임대료,점포수,평균 면적
1,신도림역,패션잡화,4988166.0,1,27.4
1,신도림역,편의점,8613177.0,2,23.03
1,신도림역,플라워,5272110.5,2,42.7
1,신도림역,화장품,6022805.0,1,24.13
1,신림역,공실,0.0,1,16.0
1,신림역,식음료,7759161.5,2,14.0
1,신림역,패션잡화,5115000.0,1,14.0
1,신림역,플라워,4550000.0,1,8.0
1,신사역,식음료,4700165.25,4,20.3275
1,신사역,의약업,2533400.0,1,23.7
1,신사역,패션잡화,5201968.125,8,27.82375
1,신사역,플라워,1520000.0,1,17.36
1,신용산역,공실,0.0,2,21.2
1,신용산역,기타,1186900.0,2,19.630000000000003
1,신용산역,식음료,2525000.0,2,17.375
1,신용산역,패션잡화,1328643.5,2,23.05
1,신용산역,플라워,786350.0,2,16.5
1,신정네거리역,밀키트,1622575.0,1,42.45
1,신정역,공실,0.0,1,42.71
1,신정역,편의점,2457000.0,1,24.0
1,신촌역,공실,0.0,2,12.225
1,신촌역,식음료,10283584.5,2,24.085
1,신촌역,의약업,6783300.0,1,21.0
1,신촌역,패션잡화,4407400.0,1,9.8
1,신촌역,편의점,15722963.0,1,44.42
1,신촌역,플라워,12538400.0,1,32.0
1,신촌역,화장품,17632662.0,1,33.0
1,신풍역,공실,0.0,5,38.0
1,신풍역,패션잡화,2020000.0,1,30.0
1,신풍역,편의점,8322600.0,1,32.82
1,신흥역,편의점,4391715.0,1,40.0
1,쌍문역,편의점,2643669.0,1,20.2
1,아차산역,공실,0.0,1,19.6
1,아차산역,식음료,3007689.5,2,31.91
1,아차산역,패션잡화,3262057.5,2,39.79
1,아차산역,편의점,4660500.0,1,28.72
1,아현역,밀키트,1124425.0,1,25.0
1,아현역,식음료,460000.0,1,22.58
1,아현역,패션잡화,1951902.0,1,34.8
1,아현역,플라워,1028675.0,1,24.05
1,아현역,화장품,2353016.0,1,35.2
1,안국역,기타,528700.0,4,21.9725
1,안국역,무인프린트,668300.0,2,23.8
1,안국역,의약업,2066900.0,1,26.31
1,안국역,패션잡화,2516750.0,2,23.185
1,안국역,플라워,1037900.0,2,23.8
1,안암역,식음료,1573300.0,2,22.0
1,안암역,의약업,3630000.0,2,31.0
1,안암역,편의점,10717338.0,1,42.2
1,안암역,화장품,2417302.0,1,40.99
1,암사역,기타,2519417.0,2,41.5
1,암사역,패션잡화,2001877.5,2,25.685
1,암사역,편의점,10014441.0,1,35.0
1,압구정역,식음료,2543548.0,2,19.15
1,압구정역,패션잡화,7200000.0,1,37.0
1,압구정역,플라워,17707500.0,1,18.62
1,압구정역,화장품,7195687.0,1,23.76
1,애오개역,편의점,3159000.0,1,32.2
1,약수역,식음료,3260820.0,1,11.57
1,약수역,편의점,7685502.0,1,77.0
1,약수역,화장품,3780596.0,1,22.32
1,양재역,기타,4110000.0,1,40.0
1,양재역,식음료,4866457.0,1,20.0
1,양재역,패션잡화,5584479.0,5,37.996
1,양재역,편의점,3173291.0,1,18.0
1,양천구청역,밀키트,965550.0,1,26.04
1,양천구청역,식음료,886500.0,1,18.84
1,어린이대공원역,공실,0.0,10,41.109
1,어린이대공원역,편의점,12632620.0,1,35.6
1,여의나루역,식음료,2021800.0,1,34.86
1,여의나루역,편의점,5869500.0,1,33.39
1,여의도역,공실,0.0,1,19.93
1,여의도역,기타,2434950.0,2,35.325
1,여의도역,식음료,2300000.0,1,22.04
1,여의도역,편의점,4582500.0,1,35.24
1,여의도역,플라워,0.0,1,23.65
1,역삼역,식음료,6897475.4,5,37.96
1,역삼역,의약업,7385207.333333333,3,139.4
1,역삼역,패션잡화,9584313.0,1,52.32
1,역삼역,편의점,4879147.0,1,26.4
1,역촌역,공실,0.0,3,48.66666666666666
1,역촌역,편의점,2585123.0,1,31.5
