역명,영업업종,월임대료,점포수,평균 면적
양재역,편의점,3173291.0,1,18.0
양천구청역,밀키트,965550.0,1,26.04
양천구청역,식음료,886500.0,1,18.84
어린이대공원역,공실,0.0,9,39.010000000000005
어린이대공원역,편의점,12632620.0,1,35.6
여의나루역,식음료,2021800.0,1,34.86
여의나루역,편의점,5869500.0,1,33.39
여의도역,공실,0.0,1,47.0
여의도역,기타,1070000.0,1,23.65
여의도역,식음료,2300000.0,1,22.04
여의도역,패션잡화,900000.0,1,19.93
여의도역,편의점,4582500.0,1,35.24
여의도역,플라워,2929289.0,1,23.65
역삼역,공실,0.0,1,22.5
역삼역,기타,12300000.0,1,52.32
역삼역,식음료,7952969.25,4,41.825
역삼역,의약업,7385207.333333333,3,139.4
역삼역,편의점,4879147.0,1,26.4
역촌역,공실,0.0,3,48.666666666666664
역촌역,편의점,2585123.0,1,31.5
연신내역,공실,0.0,2,23.28
연신내역,기타,1013200.0,1,19.96
연신내역,식음료,1386900.0,1,12.0
연신내역,의약업,1875800.0,1,22.0
연신내역,패션잡화,3874772.5,2,34.099999999999994
연신내역,편의점,8734634.0,1,44.0
영등포구청역,공실,0.0,1,22.32
영등포구청역,공유오피스,5779441.0,1,313.4
영등포구청역,식음료,4181435.0,6,24.491666666666664
영등포구청역,패션잡화,6875960.0,1,23.01
영등포구청역,편의점,2496000.0,1,34.33
영등포시장역,편의점,3100500.0,1,37.3
오금역,편의점,2691000.0,1,27.38
오목교역,공실,0.0,1,118.84
오목교역,기타,0.0,18,59.46111111111111
오목교역,무인프린트,0.0,1,14.07
오목교역,식음료,0.0,14,30.382857142857144
오목교역,패션잡화,0.0,9,42.64
오목교역,편의점,5577000.0,1,43.51
오목교역,플라워,43055000.0,2,36.37
옥수역,기타,13500000.0,1,555.0
옥수역,패션잡화,3640000.0,1,11.6
옥수역,편의점,2095000.0,1,18.9
옥수역,화장품,4736736.0,1,41.64
온수역,공실,0.0,1,41.0
온수역,사무실,795000.0,1,35.0
온수역,식음료,2040000.0,1,13.5
온수역,패션잡화,3312900.0,1,23.1
온수역,편의점,6966960.0,1,29.81
올림픽공원역,편의점,2437500.0,1,37.2
왕십리역,공실,0.0,1,84.48
왕십리역,공유오피스,2556015.0,1,204.0
왕십리역,기타,4179793.6666666665,3,34.04666666666667
왕십리역,사무실,567800.0,1,50.0
왕십리역,식음료,2237054.75,4,23.7575
왕십리역,패션잡화,2602814.285714286,7,46.17142857142857
왕십리역,편의점,2808000.0,1,40.0
왕십리역,플라워,566257.0,1,10.3
왕십리역,화장품,3968788.0,1,50.84
용마산역,공실,0.0,5,50.0
용마산역,편의점,5070780.0,1,28.8
용마산역,화장품,1309883.0,1,55.0
우장산역,공실,0.0,1,23.76
우장산역,무인프린트,850000.0,1,14.8
우장산역,사무실,1685600.0,1,44.8
우장산역,패션잡화,1798993.5,2,19.86
우장산역,편의점,4777500.0,1,33.0
월곡역,공실,0.0,2,28.5
월곡역,식음료,718500.0,2,23.915
월곡역,편의점,8190105.0,1,35.0
월곡역,화장품,1315554.0,1,58.0
월드컵경기장역,편의점,2765893.0,1,43.0
을지로3가역,공실,0.0,1,13.5
을지로3가역,기타,754300.0,2,14.6
을지로3가역,식음료,1855000.0,5,19.657999999999998
을지로3가역,패션잡화,1935275.0,4,20.39
을지로3가역,플라워,1081700.0,2,25.8
을지로4가역,기타,852500.0,2,18.87
을지로4가역,사무실,427750.0,2,35.635000000000005
을지로4가역,식음료,1443536.0,3,28.566666666666663
을지로4가역,패션잡화,849460.0,5,23.19
을지로4가역,편의점,7488000.0,1,34.98
을지로입구역,공실,0.0,1,17.2
을지로입구역,기타,14910683.333333334,6,43.800000000000004
을지로입구역,식음료,9773014.75,4,37.82
을지로입구역,패션잡화,6217450.0,2,26.685
을지로입구역,편의점,8100000.0,1,17.6
을지로입구역,플라워,2269740.0,1,19.0
응암역,기타,2032373.0,1,30.0
응암역,식음료,5950405.0,2,42.32
응암역,패션잡화,1562000.0,1,15.0
응암역,편의점,12005352.0,1,38.8
응암역,화장품,2214894.0,1,31.0
이대역,공실,0.0,1,20.0
이대역,기타,2400000.0,1,33.0
이대역,패션잡화,2550000.0,3,18.55666666666667
이대역,플라워,3020000.0,1,21.13
이수역,공실,0.0,2,62.5
이수역,기타,6422715.0,2,321.5
이수역,사무실,650000.0,1,48.0
이수역,식음료,4532176.0,1,27.22
이수역,패션잡화,4306489.25,4,49.11
이수역,편의점,14677520.0,1,54.05
이수역,플라워,2039400.0,1,22.5
이촌역,식음료,1386563.0,1,19.3
이촌역,플라워,1319000.0,1,22.0
이태원역,편의점,8483995.0,1,25.0
이태원역,화장품,3123307.0,1,34.0
일원역,기타,9016600.0,1,898.0
일원역,사무실,467500.0,1,51.7
일원역,의약업,3522150.0,2,56.239999999999995
일원역,편의점,8800000.0,1,46.0
잠실나루역,기타,4393050.0,2,68.55
잠실나루역,식음료,2810000.0,1,24.0
잠실나루역,의약업,9763550.0,2,65.02
