역명,month,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,meanshift_label
사가정역,4,1944,5694,4904,0
사당역,4,11644,19860,12570,26
사당역,4,7334,19675,20570,1
상계역,4,7796,13889,8875,0
상계역,4,9226,11674,7907,0
상봉역,4,3622,4731,2768,0
상봉역,4,984,4964,5290,0
상수역,4,1570,5075,5749,0
상수역,4,3037,6926,4023,0
서대문역,4,2226,13504,4196,0
서대문역,4,8633,4873,2988,0
서초역,4,2757,10626,2771,0
서초역,4,4494,4443,3145,0
석계역,4,4583,6198,2378,0
석계역,4,3093,5716,4716,0
선릉역,4,2646,8489,14228,0
선릉역,4,5975,11787,5895,0
성수역,4,2380,10922,10029,0
성수역,4,3371,16982,4905,0
송정역,4,2177,2248,902,0
송정역,4,730,2176,2573,0
수락산역,4,4300,5143,1573,0
수락산역,4,1129,4185,4326,0
숙대입구역,4,2650,12227,4738,0
숙대입구역,4,8494,5896,3168,0
숭실대입구역,4,4135,10641,5991,0
숭실대입구역,4,7834,9299,4944,0
신금호역,4,2591,6177,1610,0
신금호역,4,4720,3790,2906,0
신당역,4,4693,10466,5638,0
신당역,4,9109,7814,4418,0
신대방삼거리역,4,3701,5892,3462,0
신대방삼거리역,4,2489,4811,4297,0
신대방역,4,5410,5425,2502,0
신대방역,4,670,6021,6875,0
신사역,4,1434,5596,7271,0
신사역,4,2604,8775,4040,0
신용산역,4,1080,4745,3421,0
신용산역,4,2128,6005,2382,0
신정역,4,4867,6027,2304,0
신정역,4,3745,4816,4615,0
신촌역,4,2615,13998,13787,0
신촌역,4,7341,14573,8324,0
신풍역,4,2871,4204,1275,0
신풍역,4,1766,3180,2728,0
안암역,4,1522,9470,6669,0
안암역,4,6741,7097,4182,0
암사역,4,5929,5296,1423,0
암사역,4,558,5289,5832,0
압구정역,4,1999,11442,10193,0
압구정역,4,5433,14096,5057,0
어린이대공원역,4,2299,17135,8153,0
어린이대공원역,4,12228,14584,3221,26
여의도역,4,1273,5795,3991,0
여의도역,4,2361,7184,2885,0
역삼역,4,1065,5380,5026,0
역삼역,4,2993,6419,3206,0
역촌역,4,927,886,365,0
역촌역,4,139,1308,1289,0
연신내역,4,8301,18581,10569,26
연신내역,4,7456,14251,10943,0
영등포구청역,4,2584,5328,3247,0
영등포구청역,4,3146,5338,3957,0
오목교역,4,4410,11579,12330,0
오목교역,4,4891,19221,8885,0
왕십리역,4,4333,14537,7796,0
