역명,month,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,kmeans_label
태릉입구역,3,29040.0,46496.0,12157.0,0
태릉입구역,3,20207.0,48692.0,15786.0,0
학동역,3,12855.0,44447.0,14163.0,0
학동역,3,33080.0,29832.0,5866.0,0
한양대역,3,2700.0,9123.0,2686.0,0
한양대역,3,6535.0,7532.0,1546.0,0
합정역,3,30049.0,66763.0,22581.0,0
합정역,3,33031.0,64189.0,18950.0,0
행당역,3,25224.0,25973.0,4557.0,0
행당역,3,9454.0,28449.0,12620.0,0
홍제역,3,56658.0,81492.0,15830.0,0
홍제역,3,30431.0,87544.0,34148.0,0
회현역,3,15273.0,181878.0,24188.0,1
회현역,3,68484.0,146632.0,6694.0,1
효창공원앞역,3,14882.0,22335.0,4847.0,0
효창공원앞역,3,10190.0,21965.0,7237.0,0
강남구청역,4,11053.0,32925.0,11793.0,0
강남구청역,4,25207.0,25170.0,6620.0,0
강남역,4,29163.0,102986.0,32773.0,0
강남역,4,59526.0,69347.0,15082.0,0
강동구청역,4,27899.0,35780.0,8149.0,0
강동구청역,4,18187.0,38834.0,15623.0,0
강동역,4,40186.0,59289.0,15601.0,0
강동역,4,29759.0,60966.0,21722.0,0
건대입구역,4,47302.0,87498.0,28163.0,0
건대입구역,4,44840.0,87931.0,28018.0,0
공덕역,4,36131.0,76311.0,27268.0,0
공덕역,4,41429.0,70071.0,20237.0,0
광명사거리역,4,53061.0,91055.0,20970.0,0
광명사거리역,4,32671.0,108375.0,29653.0,0
광흥창역,4,18988.0,34258.0,5838.0,0
광흥창역,4,19281.0,29303.0,9302.0,0
교대역,4,39022.0,152509.0,56006.0,1
교대역,4,81692.0,134393.0,22661.0,1
군자역,4,46479.0,67133.0,25336.0,0
군자역,4,32472.0,69733.0,25941.0,0
굽은다리역,4,34425.0,40551.0,8986.0,0
굽은다리역,4,15966.0,43550.0,19319.0,0
낙성대역,4,46119.0,57455.0,13696.0,0
낙성대역,4,25955.0,65352.0,27357.0,0
남구로역,4,25436.0,32468.0,9602.0,0
남구로역,4,19531.0,35165.0,12977.0,0
노원역,4,99687.0,188667.0,50904.0,1
노원역,4,91484.0,191075.0,61069.0,1
논현역,4,10090.0,27066.0,10125.0,0
논현역,4,19092.0,20865.0,6154.0,0
단대오거리역,4,37171.0,37082.0,7520.0,0
단대오거리역,4,15496.0,45902.0,18143.0,0
당산역,4,19196.0,34466.0,12051.0,0
당산역,4,20660.0,37180.0,13404.0,0
대림역,4,67694.0,96124.0,25149.0,1
대림역,4,50260.0,107497.0,35513.0,1
대청역,4,24836.0,33674.0,7918.0,0
대청역,4,15634.0,34024.0,15119.0,0
대흥역,4,14383.0,29037.0,8628.0,0
대흥역,4,16944.0,26326.0,8387.0,0
독바위역,4,10421.0,10227.0,1889.0,0
독바위역,4,6010.0,13795.0,7562.0,0
동대문역,4,47230.0,208123.0,48826.0,1
동대문역,4,103100.0,174220.0,24550.0,1
동대입구역,4,6355.0,31409.0,10885.0,0
동대입구역,4,22456.0,27515.0,4168.0,0
동묘앞역,4,28384.0,185385.0,30169.0,1
동묘앞역,4,57904.0,167149.0,15030.0,1
마들역,4,43658.0,47349.0,7329.0,0
마들역,4,18231.0,53504.0,23813.0,0
마포구청역,4,34147.0,42172.0,9964.0,0
마포구청역,4,19758.0,42009.0,16554.0,0
면목역,4,42747.0,49756.0,12789.0,0
면목역,4,23562.0,60677.0,23067.0,0
미아사거리역,4,71498.0,100114.0,24105.0,1
미아사거리역,4,35678.0,115870.0,43331.0,1
